AGP;city;Малага;Malaga;36.7196484:-4.4200163;Europe/Madrid;Spain
AGQ;city;Агринион;Agrinion;38.628633:21.412317;Europe/Athens;Greece
AGQ;airport;Агринио;Agrinion;38.6:21.35;Europe/Athens;Agrinion
AGR;airport;;Kheria;27.16:77.96;Asia/Kolkata;Agra
AGR;city;Агра;Agra;27.1766701:78.0080745;Asia/Kolkata;India
AGS;airport;;Bush Field;33.474246:-82.00967;America/Indiana/Vevay;Augusta
AGS;city;Огаста;Augusta;33.474246:-82.00967;America/Indiana/Vevay;United States
AGT;city;Сьюдад-дель-Эсте;Ciudad Del Este;-25.5085286:-54.6753231;America/Asuncion;Paraguay
AGT;airport;;Alejo Garcia;-25.46:-54.84;America/Asuncion;Ciudad Del Este
AGU;airport;;Aguascalients;21.71:-102.32;America/Tijuana;Aguascalientes
AGU;city;Агуаскальентес;Aguascalientes;21.8817964:-102.2912701;America/Tijuana;Mexico
AGV;airport;Акарикуа;Acarigua;9.55:-69.24;America/Caracas;Acarigua
AGV;city;Акаригуа;Acarigua;9.563591:-69.205452;America/Caracas;Venezuela
AGW;city;Агнью;Agnew;-12.15:142.15;Australia/Perth;Australia
AGW;airport;;Agnew;-12.15:142.15;Australia/Perth;Agnew
AGX;city;Агатти;Agatti Island;10.8575607:72.1934421;Asia/Kolkata;India
AGX;airport;Агатти-Айленд;Agatti Island;10.82:72.18;Asia/Kolkata;Agatti Island
AGY;city;Аргил Даунс;Argyle Downs;-16.33:128.77;Australia/Perth;Australia
AGY;airport;;Argyle Downs;-16.33:128.77;Australia/Perth;Argyle Downs
AGZ;city;Аггенейс;Aggeneys;-29.28:18.81;Africa/Johannesburg;South Africa
AGZ;airport;Аггенейз;Aggeneys;-29.28:18.81;Africa/Johannesburg;Aggeneys
AHA;airport;;Naha AFB;;;Okinawa
AHB;city;Абха;Abha;18.2202208:42.5081599;Asia/Riyadh;Saudi Arabia
AHB;airport;Абха;Abha;18.24:42.66;Asia/Riyadh;Abha
AHC;city;Херлонг;Herlong;40.1435142:-120.1346519;America/Los_Angeles;United States
AHC;airport;;Amedee AAF;40.1435142:-120.1346519;America/Los_Angeles;Herlong
AHD;city;Ардмор;Ardmore;34.1742611:-97.1436254;;United States
AHD;airport;;Downtown;34.1742611:-97.1436254;;Ardmore
AHE;city;Ахе;Ahe;-14.4311181:-146.2803612;Pacific/Tahiti;French Polynesia
AHE;airport;;Ahe Airport;-14.43:-146.26;Pacific/Tahiti;Ahe
AHF;city;Арапахо;Arapahoe;40.3038889:-99.8997222;America/New_York;United States
AHF;airport;;Municipal;40.34:-99.91;America/New_York;Arapahoe
AHH;city;Амери;Amery;45.3069062:-92.3621369;America/Chicago;United States
AHH;airport;;Municipal;45.28:-92.38;America/Chicago;Amery
AHI;city;Амахаи;Amahai;-3.35:128.93;Asia/Jayapura;Indonesia
AHI;airport;Амахаи;Amahai;-3.35:128.93;Asia/Jayapura;Amahai
AHL;city;Аишалтон;Aishalton;2.47:-59.32;America/Guyana;Guyana
AHL;airport;Аисхалтон;Aishalton;2.47:-59.32;America/Guyana;Aishalton
AHN;airport;Афины;Athens;33.95:-83.33;America/Chicago;Athens
AHN;city;Атина;Athens;33.955802:-83.3823656;America/Chicago;United States
AHO;city;Альгеро;Alghero;40.5579814:8.3222037;Europe/Rome;Italy
AHO;airport;;Fertilia;40.63:8.29;Europe/Rome;Alghero
AHS;city;Ауас;Ahuas;15.4610734:-84.2771737;America/Tegucigalpa;Honduras
AHS;airport;Ахуас;Ahuas;15.47:-84.35;America/Tegucigalpa;Ahuas
AHT;city;Амчитка;Amchitka;51.5422222:178.9833333;Pacific/Honolulu;United States
AHT;airport;Ам-Тиман;Amchitka;51.5:179.0;Pacific/Honolulu;Amchitka
AHU;city;Эль-Хосейма;Al Hoceima;35.249299:-3.937112;Africa/Casablanca;Morocco
